FiscalYear,PaidDate,PledgeDate,DonorId,PledgeAmt,PaidAmt
2006,01-2006,01-2006,129,0,29993971
2006,01-2007,01-2006,70,0,100000
2006,01-2007,01-2007,55,0,20000
2006,02-2006,01-2006,163,0,1524842
2006,02-2006,02-2006,107,0,100000
2006,02-2006,12-2005,109,0,4000000
2006,02-2007,03-2006,54,0,2000
2006,02-2008,02-2008,91,0,7500000
2006,03-2006,02-2006,48,0,5000
2006,03-2006,02-2006,71,0,10000
2006,03-2006,02-2006,159,0,10000
2006,03-2006,03-2006,10,0,5000
2006,03-2006,03-2006,15,0,20000
2006,03-2006,03-2006,56,0,15000
2006,03-2006,03-2006,131,0,20000
2006,03-2006,03-2006,156,0,288577
2006,03-2006,08-2006,183,0,69928000
2006,03-2007,06-2006,148,0,50000
2006,04-2006,03-2006,80,0,150000
2006,04-2006,04-2006,166,0,10000
2006,05-2006,03-2006,13,0,7600000
2006,05-2006,03-2006,98,0,5000000
2006,05-2006,03-2018,100,0,200000
2006,05-2006,05-2006,52,0,8401243
2006,05-2006,05-2006,94,0,25000
2006,06-2006,06-2006,61,0,28102
2006,06-2006,06-2006,172,0,300000
2006,06-2007,06-2007,53,0,10000
2006,07-2006,03-2006,86,0,12601974
2006,07-2006,03-2006,135,0,250000
2006,07-2006,07-2006,9,0,25440
2006,07-2006,07-2006,18,0,5000
2006,07-2006,07-2006,64,0,629350
2006,07-2006,07-2006,124,0,25260000
2006,07-2006,07-2006,170,0,20000
2006,07-2006,08-2006,82,0,50000
2006,07-2006,12-2006,120,0,5000
2006,08-2006,03-2006,63,0,5154000
2006,08-2006,08-2006,35,0,21941309
2006,08-2006,08-2006,117,0,25000
2006,08-2006,10-2006,184,0,5000000
2006,09-2006,02-2006,115,0,50000
2006,09-2006,03-2006,79,0,424989
2006,09-2006,04-2006,111,0,50000
2006,09-2006,06-2006,136,0,254220
2006,09-2006,08-2006,50,0,113301
2006,09-2006,08-2006,126,0,2452
2006,09-2006,09-2006,12,0,5000
2006,09-2006,09-2006,64,0,634450
2006,09-2006,09-2006,81,0,1000000
2006,09-2006,09-2006,158,0,9999984
2006,10-2006,10-2006,184,0,5000000
2006,11-2006,01-2006,163,0,2403254
2006,12-2005,01-2006,162,0,41093249
2006,12-2005,12-2005,61,0,24000
2006,12-2006,08-2006,141,0,2000000
2006,12-2006,12-2006,22,0,2666194
2006,12-2006,12-2006,124,0,26600000
2006,12-2006,12-2006,155,0,10000
2007,01-2007,01-2007,31,0,10000
2007,01-2007,01-2007,81,0,1000000
2007,01-2007,01-2007,129,0,55066049
2007,01-2007,01-2007,133,0,5000
2007,01-2007,06-2007,80,0,250000
2007,01-2007,12-2006,49,0,30000
2007,01-2008,01-2008,9,0,29735
2007,01-2008,06-2007,155,0,50000
2007,01-2008,12-2006,162,0,7814500
2007,01-2008,12-2007,13,0,8760000
2007,02-2007,02-2007,48,0,20000
2007,02-2007,02-2007,52,0,8742383
2007,02-2007,12-2007,82,0,100000
2007,02-2008,02-2008,143,0,359625
2007,02-2008,02-2008,172,0,300000
2007,02-2008,03-2008,44,0,20000
2007,02-2008,04-2008,89,0,5000
2007,02-2008,11-2007,88,0,1380300
2007,02-2008,12-2006,120,0,5000
2007,03-2007,02-2007,30,0,50000
2007,03-2007,02-2007,86,0,26273974
2007,03-2007,02-2007,134,0,5000
2007,03-2007,03-2006,183,0,83726040
2007,03-2007,03-2007,64,0,1312100
2007,03-2007,03-2007,111,0,100000
2007,03-2007,03-2007,166,0,10000
2007,03-2007,03-2007,170,0,20000
2007,03-2007,04-2007,156,0,240000
2007,03-2007,06-2006,148,0,50000
2007,03-2011,12-2006,112,0,1000
2007,04-2007,01-2010,54,0,2000
2007,04-2007,04-2007,10,0,5000
2007,04-2007,04-2007,12,0,5000
2007,04-2007,04-2007,15,0,20000
2007,04-2007,04-2007,107,0,123243
2007,04-2007,04-2007,124,0,53400000
2007,04-2007,04-2007,131,0,20000
2007,04-2007,04-2007,136,0,268540
2007,04-2007,04-2007,159,0,10000
2007,05-2007,01-2007,163,0,4113857
2007,05-2007,04-2007,63,0,6726000
2007,05-2007,05-2007,78,0,10000
2007,05-2007,10-2006,22,0,2988913
2007,05-2007,12-2006,87,0,15000
2007,06-2007,01-2007,163,0,2422075
2007,06-2007,05-2007,14,0,401430
2007,06-2007,06-2006,162,0,14226999
2007,06-2007,06-2007,80,0,308618
2007,06-2007,07-2007,125,0,762700
2007,06-2008,06-2008,105,0,3000
2007,07-2007,07-2007,40,0,500000
2007,07-2007,07-2007,53,0,9978
2007,07-2007,12-2006,87,0,15000
2007,08-2007,03-2007,56,0,15000
2007,08-2007,06-2007,29,0,30000
2007,08-2007,06-2007,61,0,39739
2007,08-2007,07-2007,50,0,121353
2007,08-2007,08-2007,117,0,35000
2007,08-2007,12-2007,135,0,250000
2007,09-2007,01-2007,163,0,1659048
2007,09-2007,05-2007,88,0,1290100
2007,09-2007,09-2007,109,0,5610800
2007,09-2007
