FiscalYear,PaidDate,PledgeDate,DonorId,PooledFundId,PledgeAmt,PaidAmt
2006,03-2006,01-2006,183,36,0,6956522
2006,07-2006,01-2006,124,36,0,2602000
2006,09-2006,09-2006,129,36,0,1553277
2006,09-2006,09-2006,183,36,0,1904762
2006,10-2006,01-2006,124,36,0,2410000
2006,12-2006,01-2006,163,36,0,247934
2007,01-2007,01-2007,183,36,0,1565558
2007,04-2007,10-2006,158,73,0,4000000
2007,05-2007,05-2007,124,36,0,2160970
2007,05-2007,05-2007,162,73,0,1469495
2007,07-2007,04-2007,183,67,0,801603
2007,08-2007,07-2007,162,36,0,577564
2007,09-2007,07-2007,183,36,0,2213279
2007,10-2007,07-2007,183,36,0,3853955
2007,10-2007,09-2007,129,45,0,1833920
2007,11-2007,10-2007,129,36,0,1015479
2007,12-2007,12-2007,124,36,0,1234970
2007,12-2007,12-2007,129,36,0,1007296
2008,02-2009,01-2009,158,73,0,918635
2008,03-2008,02-2008,183,36,0,1988071
2008,05-2008,04-2008,129,36,0,1939834
2008,05-2008,05-2008,124,36,0,4049970
2008,06-2008,05-2008,183,36,0,9900990
2008,07-2008,07-2008,88,36,0,857232
2008,08-2008,05-2008,183,36,0,7905138
2008,08-2008,08-2008,183,67,0,1086956
2008,09-2008,06-2008,162,36,0,1919948
2008,09-2008,07-2008,129,45,0,367060
2008,09-2008,07-2008,162,45,0,886115
2008,09-2008,09-2008,86,36,0,1392757
2008,09-2008,09-2008,124,36,0,10814834
2008,10-2008,10-2008,183,36,0,8695652
2008,11-2008,10-2008,158,36,0,1293661
2008,11-2008,11-2008,124,36,0,10810780
2008,11-2008,11-2008,163,36,0,438596
2008,12-2008,10-2008,183,45,0,921658
2008,12-2008,11-2008,129,73,0,713840
2008,12-2008,11-2008,162,36,0,2170539
2008,12-2008,11-2008,162,45,0,1532135
2008,12-2008,12-2008,86,36,0,2959844
2008,12-2008,12-2008,129,36,0,704393
2008,12-2008,12-2008,162,73,0,893735
2008,12-2008,12-2008,163,36,0,251256
2009,01-2009,01-2009,86,73,0,661375
2009,01-2010,01-2010,52,36,0,4893091
2009,01-2010,12-2009,88,36,0,1010101
2009,01-2010,12-2009,158,36,0,1443001
2009,02-2010,11-2009,183,36,0,5600000
2009,03-2009,02-2009,183,73,0,1436781
2009,04-2009,03-2009,109,27,0,658761
2009,04-2009,03-2009,162,80,0,9060424
2009,04-2009,04-2009,124,27,0,13999970
2009,04-2009,04-2009,162,27,0,14201324
2009,04-2009,05-2009,129,80,0,13215859
2009,05-2009,04-2009,129,73,0,778258
2009,07-2009,06-2009,124,73,0,1102941
2009,07-2009,07-2009,129,27,0,3091160
2009,07-2009,07-2009,129,36,0,1529021
2009,08-2009,07-2009,124,80,0,15000000
2009,08-2009,08-2009,183,27,0,25057500
2009,09-2009,01-2009,162,73,0,1416400
2009,09-2009,07-2009,162,36,0,6476849
2009,09-2009,08-2009,22,27,0,2158273
2009,09-2009,08-2009,124,36,0,15441176
2009,09-2009,09-2009,86,18,0,1461072
2009,09-2009,09-2009,162,27,0,2128263
2009,10-2009,09-2009,183,36,0,5573248
2009,10-2009,10-2009,86,80,0,1480372
2009,10-2009,10-2009,129,22,0,993484
2009,10-2009,10-2009,183,18,0,1220000
2009,11-2009,10-2009,129,80,0,2650146
2009,11-2009,11-2009,86,27,0,738722
2009,11-2009,11-2009,129,36,0,703742
2009,11-2009,11-2009,162,67,0,1563540
2009,11-2009,11-2009,162,80,0,2174374
2009,11-2009,11-2009,183,67,0,414593
2009,12-2009,11-2009,86,36,0,2033132
2009,12-2009,11-2009,124,18,0,2941176
2009,12-2009,11-2009,124,27,0,3000000
2009,12-2009,11-2009,124,80,0,1470588
2009,12-2009,11-2009,163,36,0,699300
2009,12-2009,12-2009,124,80,0,7352941
2009,12-2009,12-2009,162,18,0,2104324
2009,12-2009,12-2009,162,22,0,431790
