FiscalYear,PledgeDate,DonorName,FundType,PooledFundName,PledgeAmt,PaidAmt
2006,01-01-2006,124,2,36,0.0,5012000.0
2006,01-01-2006,163,2,36,0.0,247934.0
2006,01-01-2006,183,2,36,0.0,6956522.0
2006,09-08-2006,183,2,36,0.0,1904762.0
2006,09-11-2006,129,2,36,0.0,1553277.0
2007,01-01-2007,183,2,36,0.0,1565558.0
2007,04-25-2007,183,2,67,0.0,801603.21
2007,05-18-2007,124,2,36,0.0,2160970.0
2007,05-21-2007,162,2,73,0.0,1469495.63
2007,07-02-2007,162,2,36,0.0,577564.8
2007,07-25-2007,183,2,36,0.0,6067235.0600000005
2007,09-18-2007,129,2,45,0.0,1833920.19
2007,10-18-2007,129,2,36,0.0,1015479.6
2007,10-22-2006,158,2,73,0.0,4000000.0
2007,12-03-2007,129,2,36,0.0,1007296.01
2007,12-10-2007,124,2,36,0.0,1234970.0
2008,01-15-2009,158,2,73,0.0,918635.17
2008,02-25-2008,183,2,36,0.0,1988071.57
2008,04-16-2008,129,2,36,0.0,1939834.21
2008,05-15-2008,183,2,36,0.0,17806128.439999998
2008,05-28-2008,124,2,36,0.0,4049970.0
2008,06-27-2008,162,2,36,0.0,1919948.37
2008,07-23-2008,162,2,45,0.0,886115.02
2008,07-24-2008,88,2,36,0.0,857232.7
2008,07-28-2008,129,2,45,0.0,367060.55
2008,08-05-2008,183,2,67,0.0,1086956.52
2008,09-01-2008,86,2,36,0.0,1392757.66
2008,09-04-2008,124,2,36,0.0,10814834.0
2008,10-06-2008,183,2,36,0.0,6956521.74
2008,10-10-2008,158,2,36,0.0,1293661.06
2008,10-20-2008,183,2,36,0.0,1739130.43
2008,10-21-2008,183,2,45,0.0,921658.99
2008,11-04-2008,163,2,36,0.0,438596.49
2008,11-11-2008,129,2,73,0.0,713840.03
2008,11-20-2008,124,2,36,0.0,10810780.0
2008,11-27-2008,162,2,36,0.0,2170539.0
2008,11-27-2008,162,2,45,0.0,1532135.04
2008,12-03-2008,162,2,73,0.0,893735.02
2008,12-05-2008,86,2,36,0.0,2959844.56
2008,12-09-2008,129,2,36,0.0,704393.78
2008,12-09-2008,163,2,36,0.0,251256.28
2009,01-14-2010,52,2,36,0.0,4893091.82
2009,01-15-2009,86,2,73,0.0,661375.66
2009,01-26-2009,162,2,73,0.0,1416400.1
2009,02-09-2009,183,2,73,0.0,1436781.61
2009,03-30-2009,109,2,27,0.0,658761.53
2009,03-31-2009,162,2,80,0.0,9060424.51
2009,04-01-2009,162,2,27,0.0,14201324.45
2009,04-03-2009,124,2,27,0.0,13999970.0
2009,04-20-2009,129,2,73,0.0,778258.57
2009,05-08-2009,129,2,80,0.0,13215859.03
2009,06-16-2009,124,2,73,0.0,1102941.0
2009,07-01-2009,129,2,27,0.0,3091160.11
2009,07-09-2009,162,2,36,0.0,6476849.86
2009,07-23-2009,124,2,80,0.0,15000000.0
2009,07-23-2009,129,2,36,0.0,1529021.99
2009,08-04-2009,183,2,27,0.0,25057500.0
2009,08-07-2009,22,2,27,0.0,2158273.38
2009,08-24-2009,124,2,36,0.0,15441176.0
2009,09-15-2009,183,2,36,0.0,5573248.41
2009,09-17-2009,86,2,18,0.0,1461072.0
2009,09-18-2009,162,2,27,0.0,2128263.34
2009,10-01-2009,183,2,18,0.0,1220000.0
2009,10-07-2009,129,2,22,0.0,993484.22
2009,10-13-2009,86,2,80,0.0,1480372.0
2009,10-22-2009,129,2,80,0.0,2650146.68
2009,11-06-2009,183,2,67,0.0,414593.7
2009,11-09-2009,129,2,36,0.0,703742.15
2009,11-09-2009,162,2,80,0.0,2174374.92
2009,11-11-2009,86,2,27,0.0,738722.0
2009,11-11-2009,124,2,80,0.0,1470588.0
2009,11-17-2009,86,2,36,0.0,2033132.53
2009,11-17-2009,124,2,18,0.0,2941176.0
2009,11-18-2009,124,2,27,0.0,3000000.0
2009,11-20-2009,162,2,67,0.0,1563540.07
2009,11-20-2009,183,2,36,0.0,5600000.0
2009,11-25-2009,163,2,36,0.0,699300.7
2009,12-04-2009,162,2,18,0.0,2104324.94
2009,12-04-2009,162,2,27,0.0,3507224.91
2009,12-04-2009,162,2,80,0.0,3507224.91
2009,12-08-2009,162,2,22,0.0,431790.0
2009,12-09-2009,124,2,80,0.0,7352941.0
2009,12-09-2009,162,2,73,0.0,1656119.94
2009,12-15-2009,183,2,80,0.0,60100166.94
2009,12-17-2009,88,2,36,0.0,1010101.0
2009,12-21-2009,163,2,73,0.0,499500.5
2009,12-29-2009,158,2,36,0.0,1443001.44
2010,01-07-2010,162,2,22,0.0,437849.97
2010,01-07-2010,183,2,73,0.0,1600000.0
2010,01-15-2010,52,2,45,0.0,1638806.94
2010,01-15-2010,162,2,45,0.0,817559.99
2010,01-19-2010,28,2,45,0.0,128100.0
2010,01-19-2010,180,2,45,0.0,4980.0
2010,01-20-2010,8,2,45,0.0,500000.0
2010,01-20-2010,52,2,45,0.0,3669545.67
2010,01-21-2010,29,2,45,0.0,4500000.0
2010,01-21-2010,64,2,45,0.0,6747638.33
2010,01-22-2010,34,2,45,0.0,50000.0
2010,01-22-2010,171,2,45,0.0,1000000.0
2010,01-25-2010,126,2,45,0.0,1500000.0
2010,01-25-2010,128,2,45,0.0,90000.0
2010,01-25-2010,148,2,45,0.0,50000000.0
2010,01-27-2010,94,2,45,0.0,99959.0
2010,01-27-2010,180,2,45,0.0,25071.0
2010,01-28-2010,114,2,45,0.0,70028.01
2010,02-01-2010,65,2,45,0.0,1000000.0
2010,02-01-2010,180,2,45,0.0,5200.0
2010,02-02-2010,116,2,45,0.0,90000.0
2010,02-03-2010,29,2,45,0.0,1349052.0
2010,02-03-2010,183,2,18,0.0,2293577.98
2010,02-04-2010,9,2,45,0.0,69920.17
2010,02-04-2010,180,2,45,0.0,1350.0
2010,02-09-2010,118,2,45,0.0,20000.0
2010,02-11-2010,2,2,45,0.0,200000.0
2010,02-11-2010,23,2,45,0.0,86000.0
2010,02-11-2010,158,2,22,0.0,674763.83
2010,02-15-2010,30,2,45,0.0,50000.0
2010,02-15-2010,34,2,45,0.0,10000.0
2010,02-15-2010,188,2,45,0.0,50000.0
2010,02-16-2010,180,2,45,0.0,21964.0
2010,02-18-2010,15,2,45,0.0,499978.0
2010,02-26-2010,162,2,27,0.0,9737674.75
2010,03-01-2010,180,2,45,0.0,30000.0
2010,03-03-2010,12,2,45,0.0,100000.0
2010,03-03-2010,180,2,45,0.0,2200.0
2010,03-07-2010,129,2,80,0.0,15075376.88
2010,03-11-2010,158,2,73,0.0,942126.51
2010,03-11-2010,162,2,80,0.0,13907975.8
2010,03-15-2010,82,2,45,0.0,50000.0
2010,03-16-2010,86,2,18,0.0,1848392.0
2010,03-16-2010,86,2,27,0.0,3168692.0
2010,03-16-2010,86,2,80,0.0,3828842.0
2010,03-16-2010,162,2,18,0.0,1112615.06
2010,03-23-2010,180,2,45,0.0,1300.0
2010,03-24-2010,188,2,45,0.0,80000.0
2010,03-25-2010,60,2,45,0.0,1999977.0
2010,03-26-2010,151,2,45,0.0,100000.0
2010,03-31-2010,180,2,45,0.0,2329.19
2010,04-07-2010,129,2,27,0.0,3365273.72
2010,04-07-2010,158,2,27,0.0,5778180.0
2010,04-07-2010,158,2,80,0.0,7991100.0
2010,04-14-2010,95,2,45,0.0,1987.33
2010,04-21-2010,46,2,45,0.0,950000.0
2010,04-21-2010,180,2,45,0.0,3032.71
2010,04-27-2010,126,2,45,0.0,1001000.0
2010,04-27-2010,180,2,45,0.0,78784.25
