DonorId,FiscalYear,FundType,PaidAmt,PledgeAmt,PledgePaidDate,PooledFundId
124,2006,CBPF,0,5012000,01-2006,36
163,2006,CBPF,0,229007,01-2006,36
183,2006,CBPF,0,6884681,01-2006,36
129,2006,CBPF,0,1553277,09-2006,36
183,2006,CBPF,0,1904762,09-2006,36
183,2007,CBPF,0,1565558,01-2007,36
183,2007,CBPF,0,785854,04-2007,67
124,2007,CBPF,0,2160970,05-2007,36
162,2007,CBPF,0,1494768,05-2007,73
162,2007,CBPF,0,583941,07-2007,36
183,2007,CBPF,0,6012024,07-2007,36
129,2007,CBPF,0,1712328,09-2007,45
158,2007,CBPF,0,3807106,10-2006,73
129,2007,CBPF,0,1005484,10-2007,36
124,2007,CBPF,0,1235000,12-2007,36
129,2007,CBPF,0,1001821,12-2007,36
158,2008,CBPF,0,925925,01-2009,73
183,2008,CBPF,0,1988071,02-2008,36
129,2008,CBPF,0,1960784,04-2008,36
124,2008,CBPF,0,4050000,05-2008,36
183,2008,CBPF,0,17751479,05-2008,36
162,2008,CBPF,0,2166666,06-2008,36
88,2008,CBPF,0,857232,07-2008,36
129,2008,CBPF,0,395256,07-2008,45
162,2008,CBPF,0,1003344,07-2008,45
183,2008,CBPF,0,1086956,08-2008,67
86,2008,CBPF,0,1477104,09-2008,36
124,2008,CBPF,0,10814864,09-2008,36
158,2008,CBPF,0,1347708,10-2008,36
183,2008,CBPF,0,9105612,10-2008,36
183,2008,CBPF,0,1043478,10-2008,45
124,2008,CBPF,0,10810810,11-2008,36
129,2008,CBPF,0,755058,11-2008,73
162,2008,CBPF,0,2103648,11-2008,36
162,2008,CBPF,0,1484927,11-2008,45
163,2008,CBPF,0,438596,11-2008,36
86,2008,CBPF,0,2959844,12-2008,36
129,2008,CBPF,0,716332,12-2008,36
162,2008,CBPF,0,879396,12-2008,73
163,2008,CBPF,0,251256,12-2008,36
86,2009,CBPF,0,661375,01-2009,73
162,2009,CBPF,0,1215066,01-2009,73
52,2009,CBPF,0,4854368,01-2010,36
183,2009,CBPF,0,1430615,02-2009,73
109,2009,CBPF,0,639386,03-2009,27
